"104000098","34","23","19","32","20","13","04"
"104000099","34","11","12","30","26","32","08"
"104000100","09","02","07","06","16","25","01"
"104000101","06","15","08","13","17","29","05"
"104000102","06","01","20","14","38","11","05"
"104000103","29","34","17","13","23","27","05"
"104000104","30","37","12","05","11","26","05"
"104000105","37","13","22","26","31","03","06"
"105000001","13","29","11","18","26","28","07"
"105000002","14","05","28","35","34","38","06"
"105000003","19","33","34","35","36","27","04"
"105000004","09","11","34","27","17","13","06"
"105000005","16","32","17","01","30","29","07"
"105000006","15","18","06","35","22","34","03"
"105000007","24","20","32","25","29","23","08"
"105000008","30","26","03","36","09","23","05"
"105000009","34","32","26","19","03","20","08"
"105000010","07","32","37","22","34","13","07"
"105000011","01","23","19","11","04","08","03"
"105000012","25","30","01","20","33","16","01"
"105000013","03","28","07","09","32","20","05"
"105000014","27","36","20","37","23","08","04"
"105000015","19","12","30","04","23","33","05"
"105000016","28","33","15","10","18","29","05"
"105000017","18","17","01","15","38","09","06"
"105000018","24","27","11","03","22","12","06"
"105000019","24","38","11","14","34","10","03"
"105000020","21","32","35","38","06","16","07"
"105000021","28","07","13","06","03","17","03"
"105000022","19","28","07","09","26","31","08"
"105000023","25","32","19","27","10","09","05"
"105000024","31","03","24","08","16","38","06"
"105000025","14","16","34","08","27","04","02"
"105000026","26","28","07","02","11","25","04"
"105000027","37","29","08","16","14","02","06"
"105000028","29","36","06","33","03","26","05"
"105000029","02","21","15","23","36","31","01"
"105000030","28","30","15","29","38","22","07"
"105000031","04","08","21","35","12","17","08"
"105000032","16","15","27","23","30","13","02"
"105000033","08","21","07","27","10","34","04"
"105000034","37","06","08","15","01","24","07"
"105000035","17","09","28","18","22","15","06"
"105000036","18","19","16","14","09","02","06"
"105000037","38","37","30","20","14","04","04"
"105000038","19","32","22","12","01","15","05"
"105000039","28","21","27","09","38","11","04"
"105000040","01","32","16","10","30","23","02"
"105000041","14","38","35","15","03","11","02"
"105000042","05","25","24","03","28","12","06"
"105000043","12","38","03","17","27","28","04"
"105000044","16","17","11","33","34","38","08"
"105000045","24","29","06","13","14","38","08"
