"103000088","34","18","38","14","25"
"103000089","15","37","06","05","24"
"103000090","09","15","06","14","36"
"103000091","03","12","29","01","33"
"103000092","28","29","14","18","04"
"103000093","29","37","38","19","27"
"103000094","36","37","13","04","35"
"103000095","33","19","27","29","20"
"103000096","09","39","25","04","30"
"103000097","33","16","14","07","26"
"103000098","17","04","07","35","16"
"103000099","33","07","39","38","05"
"103000100","23","33","08","24","15"
"103000101","17","38","19","03","22"
"103000102","25","08","33","03","21"
"103000103","26","23","05","29","06"
"103000104","17","39","34","22","10"
"103000105","38","08","01","11","14"
"103000106","13","23","37","03","14"
"103000107","08","04","21","13","37"
"103000108","05","23","06","39","24"
"103000109","19","21","39","12","36"
"103000110","27","09","36","28","01"
"103000111","39","34","25","05","36"
"103000112","36","17","37","08","01"
"103000113","14","09","24","11","06"
"103000114","06","05","12","31","16"
"103000115","14","18","28","38","03"
"103000116","34","21","35","13","06"
"103000117","28","09","31","33","07"
"103000118","17","13","03","37","25"
"103000119","19","07","08","18","27"
"103000120","32","12","35","19","30"
"103000121","20","11","29","07","05"
"103000122","10","13","32","31","29"
"103000123","16","21","18","05","20"
"103000124","37","27","16","38","02"
"103000125","05","19","12","02","38"
"103000126","35","13","39","31","27"
"103000127","20","02","12","08","27"
"103000128","25","23","28","22","07"
"103000129","31","01","07","18","15"
"103000130","12","26","16","31","09"
"103000131","36","34","26","11","13"
"103000132","26","01","03","38","39"
"103000133","10","13","29","04","32"
"103000134","38","18","12","28","24"
"103000135","05","18","30","07","34"
"103000136","30","04","18","26","27"
"103000137","07","17","16","32","01"
"103000138","15","16","31","14","29"
"103000139","31","17","11","13","01"
"103000140","04","14","35","34","12"
"103000141","12","19","38","37","35"
"103000142","37","11","20","23","38"
"103000143","02","39","16","36","14"
"103000144","05","36","13","12","22"
"103000145","04","12","17","23","25"
"103000146","34","30","01","19","39"
"103000147","16","10","24","25","04"
"103000148","29","18","20","04","02"
"103000149","05","36","34","19","12"
"103000150","38","02","27","15","28"
"103000151","14","31","30","04","13"
"103000152","30","02","10","12","11"
"103000153","35","39","32","25","36"
"103000154","30","06","02","10","20"
"103000155","06","39","13","34","30"
"103000156","13","31","23","28","29"
"103000157","37","10","08","26","34"
"103000158","23","28","16","19","02"
"103000159","32","09","35","04","22"
"103000160","13","18","33","17","09"
"103000161","15","35","29","13","02"
"103000162","30","11","19","09","13"
"103000163","17","01","16","15","35"
"103000164","27","32","03","20","13"
"103000165","37","34","25","03","23"
"103000166","21","33","05","35","32"
"103000167","26","15","17","05","10"
"103000168","27","14","28","25","19"
"103000169","14","32","21","18","26"
"103000170","09","34","14","03","11"
"103000171","09","34","36","05","25"
"103000172","18","03","15","35","27"
"103000173","19","01","37","07","13"
"103000174","35","28","27","06","38"
"103000175","11","34","07","02","12"
"103000176","10","03","25","39","13"
"103000177","10","17","02","20","29"
"103000178","17","33","12","05","02"
"103000179","25","28","07","11","26"
"103000180","32","26","35","04","02"
"103000181","12","23","39","37","28"
"103000182","20","33","24","06","01"
"103000183","18","16","09","31","05"
"103000184","15","29","05","24","26"
"103000185","20","10","12","23","27"
"103000186","16","32","11","01","39"
"103000187","38","11","08","06","15"
"103000188","17","39","37","18","10"
"103000189","34","18","08","31","27"
"103000190","20","28","30","13","25"
"103000191","05","20","28","18","38"
"103000192","37","14","03","24","23"
"103000193","32","12","16","23","30"
"103000194","21","29","19","34","32"
"103000195","12","20","03","07","39"
"103000196","06","16","10","22","26"
"103000197","19","35","09","18","20"
"103000198","38","12","32","34","15"
"103000199","39","37","09","15","26"
"103000200","29","34","36","10","23"
"103000201","04","18","37","38","03"
"103000202","09","08","17","30","11"
"103000203","34","03","23","10","13"
"103000204","19","36","28","15","39"
"103000205","34","10","17","18","23"
"103000206","22","05","24","10","36"
"103000207","04","16","20","05","11"
"103000208","20","25","37","26","23"
"103000209","02","15","25","11","33"
"103000210","31","38","24","16","19"
"103000211","10","34","17","25","33"
"103000212","14","30","13","15","27"
"103000213","13","32","15","37","20"
"103000214","18","31","14","38","34"
"103000215","30","04","39","20","17"
"103000216","19","39","07","25","02"
"103000217","11","16","10","17","03"
"103000218","23","18","20","35","32"
"103000219","20","03","17","13","31"
"103000220","27","31","08","24","37"
"103000221","14","13","16","18","05"
"103000222","23","13","36","35","17"
"103000223","38","15","26","10","01"
"103000224","15","23","38","01","22"
"103000225","18","10","07","36","12"
"103000226","03","27","13","36","15"
"103000227","05","03","04","37","07"
"103000228","08","17","07","05","09"
"103000229","29","38","30","28","17"
"103000230","13","27","28","14","39"
"103000231","38","04","39","28","26"
"103000232","12","15","14","05","23"
"103000233","27","16","22","03","02"
"103000234","05","28","27","08","14"
"103000235","37","17","38","22","12"
"103000236","04","17","36","37","39"
"103000237","36","23","05","35","04"
"103000238","05","33","16","14","22"
"103000239","36","21","20","27","25"
"103000240","04","19","20","22","05"
"103000241","32","02","05","06","17"
"103000242","18","32","13","23","09"
"103000243","11","35","19","36","31"
"103000244","22","10","05","06","09"
"103000245","04","14","21","27","35"
"103000246","35","14","33","05","21"
"103000247","29","06","30","18","09"
"103000248","26","01","32","29","12"
"103000249","24","37","35","18","19"
"103000250","09","31","23","36","14"
"103000251","33","32","23","09","04"
"103000252","33","22","19","06","02"
"103000253","15","28","39","19","29"
"103000254","03","14","19","18","05"
"103000255","33","07","25","12","37"
"103000256","10","31","39","27","05"
"103000257","23","03","02","37","05"
"103000258","10","29","27","05","30"
"103000259","34","20","15","07","18"
"103000260","08","09","14","34","31"
"103000261","06","27","11","38","18"
"103000262","11","34","17","36","37"
"103000263","34","05","12","28","29"
"103000264","16","36","09","11","37"
"103000265","03","38","34","29","08"
"103000266","27","28","13","26","05"
"103000267","27","13","17","34","36"
"103000268","20","38","24","26","16"
"103000269","19","37","39","11","25"
"103000270","20","34","30","08","13"
"103000271","05","06","12","20","09"
"103000272","37","08","21","27","30"
"103000273","19","01","33","22","04"
"103000274","25","27","21","16","37"
"103000275","08","18","16","31","19"
"103000276","26","14","23","25","19"
"103000277","36","29","23","27","32"
"103000278","38","11","25","30","07"
"103000279","02","37","36","24","38"
"103000280","10","05","22","25","09"
"103000281","39","18","10","25","26"
"103000282","37","08","32","14","03"
"103000283","07","04","36","05","15"
"103000284","02","19","20","14","35"
"103000285","34","30","23","39","26"
